customer_id,customer_name,age_group,home_region,signup_date,membership,marketing_opt_in
C0123,고객 123,30대,서울,2025-03-11,BASIC,True
C0124,고객 124,30대,부산,2024-04-12,BASIC,True
C0125,고객 125,50대 이상,경기,2024-05-13,BASIC,True
C0126,고객 126,20대,부산,2025-06-14,BASIC,False
C0127,고객 127,40대,부산,2025-07-15,BASIC,True
C0128,고객 128,30대,광주,2025-08-16,BASIC,True
C0129,고객 129,40대,서울,2025-09-17,BASIC,True
C0130,고객 130,30대,광주,2025-10-18,BASIC,False
C0131,고객 131,50대 이상,경기,2025-11-19,BASIC,False
C0132,고객 132,20대,서울,2024-12-20,BASIC,True
C0133,고객 133,40대,서울,2025-01-21,BASIC,True
C0134,고객 134,50대 이상,경기,2025-02-22,BASIC,False
C0135,고객 135,30대,광주,2024-03-23,BASIC,True
C0136,고객 136,30대,대구,2025-04-24,BASIC,True
C0137,고객 137,40대,부산,2026-05-25,BASIC,True
C0138,고객 138,20대,경기,2025-06-26,BASIC,False
C0139,고객 139,30대,대전,2026-01-27,BASIC,True
C0140,고객 140,30대,경기,2025-08-28,BASIC,True
C0141,고객 141,20대,서울,2026-03-01,BASIC,False
C0142,고객 142,20대,대구,2024-10-02,BASIC,False
C0143,고객 143,50대 이상,경기,2025-11-03,BASIC,True
C0144,고객 144,20대,서울,2026-06-04,BASIC,False
C0145,고객 145,50대 이상,대전,2025-01-05,BASIC,False
C0146,고객 146,30대,서울,2026-02-06,BASIC,True
C0147,고객 147,20대,대구,2025-03-07,BASIC,True
C0148,고객 148,40대,경기,2025-04-08,BASIC,True
C0149,고객 149,40대,부산,2024-05-09,BASIC,True
C0150,고객 150,30대,경기,2025-06-10,BASIC,True
C0151,고객 151,20대,경기,2024-07-11,BASIC,True
C0152,고객 152,20대,경기,2024-08-12,BASIC,False
C0153,고객 153,30대,대전,2024-09-13,BASIC,True
C0154,고객 154,20대,서울,2024-10-14,BASIC,False
C0155,고객 155,40대,대전,2025-11-15,BASIC,False
C0156,고객 156,50대 이상,경기,2024-12-16,BASIC,True
C0157,고객 157,30대,광주,2026-01-17,BASIC,False
C0158,고객 158,30대,부산,2026-02-18,BASIC,False
C0159,고객 159,30대,서울,2025-03-19,BASIC,True
C0160,고객 160,50대 이상,대전,2026-04-20,BASIC,True
C0161,고객 161,20대,서울,2024-05-21,BASIC,False
C0162,고객 162,50대 이상,광주,2026-06-22,BASIC,False
C0163,고객 163,30대,서울,2024-07-23,BASIC,True
C0164,고객 164,30대,서울,2025-08-24,BASIC,False
C0165,고객 165,40대,대구,2024-09-25,BASIC,True
C0166,고객 166,30대,대전,2025-10-26,BASIC,False
C0167,고객 167,20대,경기,2025-11-27,BASIC,True
C0168,고객 168,50대 이상,경기,2026-06-28,BASIC,False
C0169,고객 169,20대,서울,2025-01-01,BASIC,True
C0170,고객 170,20대,광주,2024-02-02,BASIC,False
C0171,고객 171,40대,경기,2025-03-03,BASIC,False
C0172,고객 172,40대,대구,2024-04-04,BASIC,False
C0173,고객 173,30대,대전,2025-05-05,BASIC,False
C0174,고객 174,30대,경기,2025-06-06,BASIC,True
C0175,고객 175,40대,경기,2026-01-07,BASIC,True
C0176,고객 176,20대,서울,2025-08-08,BASIC,True
C0177,고객 177,20대,부산,2025-09-09,BASIC,True
C0178,고객 178,30대,서울,2026-04-10,BASIC,True
C0179,고객 179,40대,경기,2026-05-11,BASIC,False
C0180,고객 180,40대,대구,2025-12-12,BASIC,True
C0181,고객 181,20대,부산,2025-01-13,PLUS,False
C0182,고객 182,20대,경기,2024-02-14,PLUS,True
C0183,고객 183,50대 이상,서울,2026-03-15,PLUS,True
C0184,고객 184,50대 이상,경기,2024-04-16,PLUS,False
C0185,고객 185,30대,대전,2025-05-17,PLUS,True
C0186,고객 186,40대,부산,2025-06-18,PLUS,False
C0187,고객 187,40대,부산,2025-07-19,PLUS,True
C0188,고객 188,30대,서울,2024-08-20,PLUS,True
C0189,고객 189,50대 이상,서울,2025-09-21,PLUS,False
C0190,고객 190,50대 이상,서울,2025-10-22,PLUS,True
C0191,고객 191,40대,서울,2024-11-23,PLUS,True
C0192,고객 192,30대,부산,2026-06-24,PLUS,True
C0193,고객 193,50대 이상,서울,2026-01-25,PLUS,True
C0194,고객 194,30대,대구,2024-02-26,PLUS,False
C0195,고객 195,50대 이상,부산,2024-03-27,PLUS,False
C0196,고객 196,20대,경기,2024-04-28,PLUS,True
C0197,고객 197,20대,서울,2026-05-01,PLUS,True
C0198,고객 198,20대,경기,2024-06-02,PLUS,True
C0199,고객 199,20대,경기,2025-07-03,PLUS,True
C0200,고객 200,30대,경기,2025-08-04,PLUS,True
C0201,고객 201,50대 이상,부산,2024-09-05,PLUS,True
C0202,고객 202,30대,대전,2024-10-06,PLUS,True
C0203,고객 203,20대,서울,2025-11-07,PLUS,False
C0204,고객 204,30대,서울,2024-12-08,PLUS,True
C0205,고객 205,50대 이상,대전,2026-01-09,PLUS,False
C0206,고객 206,50대 이상,부산,2024-02-10,PLUS,True
C0207,고객 207,50대 이상,부산,2025-03-11,PLUS,True
C0208,고객 208,30대,경기,2026-04-12,PLUS,False
C0209,고객 209,30대,서울,2025-05-13,PLUS,True
C0210,고객 210,40대,서울,2024-06-14,PLUS,False
C0211,고객 211,20대,경기,2026-01-15,PLUS,True
C0212,고객 212,30대,서울,2024-08-16,PLUS,True
C0213,고객 213,20대,광주,2024-09-17,PLUS,True
C0214,고객 214,40대,서울,2024-10-18,PLUS,False
C0215,고객 215,50대 이상,경기,2026-05-19,PLUS,True
C0216,고객 216,20대,서울,2025-12-20,PLUS,True
C0217,고객 217,40대,서울,2025-01-21,PLUS,True
C0218,고객 218,20대,서울,2024-02-22,PLUS,False
C0219,고객 219,30대,광주,2025-03-23,PLUS,True
C0220,고객 220,30대,서울,2026-04-24,PLUS,False
C0221,고객 221,30대,서울,2025-05-25,PLUS,True
C0222,고객 222,20대,대전,2026-06-26,PLUS,True
C0223,고객 223,20대,서울,2024-07-27,PLUS,True
C0224,고객 224,40대,경기,2025-08-28,PLUS,True
C0225,고객 225,30대,광주,2024-09-01,PLUS,True
C0226,고객 226,40대,서울,2025-10-02,PLUS,True
C0227,고객 227,30대,서울,2024-11-03,PLUS,True
C0228,고객 228,30대,경기,2025-12-04,PLUS,True
C0229,고객 229,20대,서울,2025-01-05,PLUS,True
C0230,고객 230,20대,서울,2024-02-06,PLUS,True
C0231,고객 231,40대,경기,2026-03-07,PLUS,True
C0232,고객 232,50대 이상,서울,2026-04-08,PLUS,False
C0233,고객 233,30대,경기,2024-05-09,PLUS,True
C0234,고객 234,50대 이상,부산,2024-06-10,PLUS,True
C0235,고객 235,30대,광주,2024-07-11,PLUS,True
C0236,고객 236,40대,경기,2026-02-12,PLUS,False
C0237,고객 237,40대,부산,2024-09-13,PLUS,True
C0238,고객 238,40대,경기,2024-10-14,PLUS,True
C0239,고객 239,40대,대전,2025-11-15,PLUS,True
C0240,고객 240,40대,대구,2024-12-16,PLUS,True
C0241,고객 241,30대,경기,2024-01-17,PLUS,True
C0242,고객 242,20대,서울,2024-02-18,PLUS,True
C0243,고객 243,30대,부산,2025-03-19,PLUS,True
C0244,고객 244,20대,서울,2026-04-20,PLUS,False
C0245,고객 245,30대,서울,2026-05-21,PLUS,True
C0246,고객 246,30대,경기,2025-06-22,PLUS,True
C0247,고객 247,30대,서울,2025-07-23,PLUS,False
C0248,고객 248,30대,부산,2026-02-24,PLUS,True
C0249,고객 249,40대,대전,2025-09-25,PLUS,True
C0250,고객 250,40대,광주,2026-04-26,PLUS,True
C0251,고객 251,30대,서울,2024-11-27,PLUS,True
C0252,고객 252,40대,광주,2024-12-28,PLUS,True
C0253,고객 253,30대,서울,2026-01-01,PLUS,True
C0254,고객 254,30대,서울,2025-02-02,PLUS,True
C0255,고객 255,30대,대전,2026-03-03,PLUS,False
C0256,고객 256,40대,서울,2026-04-04,PLUS,True
C0257,고객 257,50대 이상,경기,2026-05-05,PLUS,True
C0258,고객 258,30대,대전,2026-06-06,PLUS,False
C0259,고객 259,30대,서울,2026-01-07,PLUS,True
C0260,고객 260,50대 이상,서울,2026-02-08,PLUS,False
C0261,고객 261,30대,서울,2025-09-09,PLUS,True
C0262,고객 262,30대,서울,2026-04-10,PLUS,True
C0263,고객 263,50대 이상,대전,2026-05-11,PLUS,True
C0264,고객 264,40대,경기,2025-12-12,PLUS,False
C0265,고객 265,30대,광주,2024-01-13,PLUS,True
C0266,고객 266,40대,서울,2025-02-14,PLUS,False
C0267,고객 267,40대,서울,2025-03-15,PLUS,True
C0268,고객 268,30대,대구,2025-04-16,PLUS,True
C0269,고객 269,40대,서울,2025-05-17,PLUS,True
C0270,고객 270,40대,대구,2026-06-18,PLUS,True
C0271,고객 271,50대 이상,광주,2024-07-19,VIP,False
C0272,고객 272,30대,서울,2026-02-20,VIP,True
C0273,고객 273,30대,광주,2026-03-21,VIP,False
C0274,고객 274,20대,부산,2025-10-22,VIP,True
C0275,고객 275,40대,부산,2026-05-23,VIP,False
C0276,고객 276,50대 이상,경기,2025-12-24,VIP,True
C0277,고객 277,20대,경기,2025-01-25,VIP,False
C0278,고객 278,20대,서울,2024-02-26,VIP,True
C0279,고객 279,40대,서울,2026-03-27,VIP,True
C0280,고객 280,30대,광주,2025-04-28,VIP,False
C0281,고객 281,20대,광주,2024-05-01,VIP,True
C0282,고객 282,20대,서울,2024-06-02,VIP,True
C0283,고객 283,50대 이상,대구,2024-07-03,VIP,False
C0284,고객 284,30대,경기,2025-08-04,VIP,True
C0285,고객 285,20대,경기,2025-09-05,VIP,True
C0286,고객 286,20대,서울,2026-04-06,VIP,True
C0287,고객 287,50대 이상,서울,2026-05-07,VIP,False
C0288,고객 288,20대,서울,2025-12-08,VIP,True
C0289,고객 289,20대,경기,2025-01-09,VIP,True
C0290,고객 290,40대,광주,2024-02-10,VIP,True
C0291,고객 291,40대,부산,2025-03-11,VIP,False
C0292,고객 292,30대,서울,2025-04-12,VIP,False
C0293,고객 293,20대,서울,2024-05-13,VIP,True
C0294,고객 294,50대 이상,대구,2025-06-14,VIP,False
C0295,고객 295,30대,경기,2025-07-15,VIP,True
C0296,고객 296,40대,경기,2025-08-16,VIP,True
C0297,고객 297,40대,경기,2025-09-17,VIP,False
C0298,고객 298,20대,대구,2025-10-18,VIP,True
C0299,고객 299,40대,서울,2025-11-19,VIP,False
C0300,고객 300,50대 이상,부산,2024-12-20,VIP,True
