sale_id,buyer_id,sold_at,item_id,item,item_group,unit_price,units,coupon_rate,store,payment,record_status
SALE000086,B0068,2026/08/03,UF03,견과 믹스,FOOD,15000,1,0.05,Store B,Card,verified
SALE000087,B0156,2026/08/02,UL05,소파 쿠션,LIFESTYLE,35000,2,0.0,Store A,Card,verified
SALE000088,B0053,2026/08/07,UF03,견과 믹스,FOOD,15000,1,0.0,Store A,KakaoPay,verified
SALE000089,B0119,2026/08/04,UT05,노이즈캔슬링 이어폰,TECH,139000,1,0.0,Store A,Bank Transfer,verified
SALE000090,B0072,2026/08/04,UT01,무선 키보드,TECH,59000,1,0.0,Store C,Other,verified
SALE000091,B0134,2026/08/03,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store C,Other,verified
SALE000092,B0112,2026/08/09,UF01,드립백 커피,FOOD,18000,3,0.1,Store C,Other,verified
SALE000093,B0119,2026/08/03,UL01,무드등,LIFESTYLE,39000,3,0.0,Store A,KakaoPay,verified
SALE000094,B0018,2026/08/08,UF04,허브티 세트,FOOD,10000,1,0.0,Store A,Bank Transfer,verified
SALE000095,B0081,2026/08/01,UL01,무드등,lifestyle,39000,4,0.0,Store A,Bank Transfer,verified
SALE000096,B0161,2026/08/06,UF01,드립백 커피,FOOD,18000,1,0.2,Store A,Card,verified
SALE000097,B0178,2026/08/03,UL05,소파 쿠션,LIFESTYLE,35000,4,,Store C,KakaoPay,verified
SALE000098,B0058,2026/08/10,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store A,Card,verified
SALE000099,B0045,2026/08/10,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store B,Other,verified
SALE000100,B0082,2026/08/09,US03,위클리 플래너,STATIONERY,15000,4,0.0,Store B,Card,verified
SALE000101,B0145,2026/08/10,UF05,쿠키 박스,FOOD,22000,2,0.05,Store B,Card,verified
SALE000102,B0170,2026/08/02,US03,위클리 플래너,STATIONERY,15000,1,0.0,Store C,Bank Transfer,verified
SALE000103,B0074,2026/08/07,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store A,Bank Transfer,verified
SALE000104,B0119,2026/08/10,UT01,무선 키보드,TECH,59000,1,0.0,Store A,KakaoPay,verified
SALE000105,B0075,2026/08/04,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store A,Bank Transfer,verified
SALE000106,B0100,2026/08/03,UL01,무드등,LIFESTYLE,39000,3,0.0,Store C,Card,verified
SALE000107,B0042,2026/08/07,US05,파일 홀더,STATIONERY,9000,3,0.0,Store C,Card,verified
SALE000108,B0055,2026/08/10,UL01,무드등,LIFESTYLE,39000,3,0.0,Store C,Bank Transfer,verified
SALE000109,B0021,2026/08/06,US01,하드커버 노트,stationery,8000,2,0.0,Store C,KakaoPay,verified
SALE000110,B0003,2026/08/01,UA03,캔버스 에코백,FASHION,28000,2,0.0,Store A,KakaoPay,verified
SALE000111,B0132,2026/08/06,UF04,허브티 세트,FOOD,10000,1,0.0,Store A,Card,verified
SALE000112,B0154,2026/08/04,UL01,무드등,LIFESTYLE,39000,3,0.0,Store A,Other,verified
SALE000113,B0163,2026/08/01,UF05,쿠키 박스,FOOD,22000,2,0.05,Store B,Card,verified
SALE000114,B0094,2026/08/05,UL02,보온 텀블러,LIFESTYLE,24000,4,,Store A,KakaoPay,verified
SALE000115,B0164,2026/08/09,UL01,무드등,LIFESTYLE,39000,1,0.05,Store B,Card,verified
SALE000116,B0024,2026/08/10,UL05,소파 쿠션,LIFESTYLE,35000,1,0.05,Store C,KakaoPay,verified
SALE000117,B0012,2026/08/07,UA04,볼캡,FASHION,26000,2,0.1,Store A,Bank Transfer,verified
SALE000118,B0006,2026/08/08,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store B,Card,verified
SALE000119,B0173,2026/08/01,UF01,드립백 커피,FOOD,18000,1,0.2,Store C,Other,verified
SALE000120,B0092,2026/08/05,UA05,데일리 스니커즈,FASHION,119000,1,0.2,Store B,Bank Transfer,verified
SALE000121,B0059,2026/08/10,UF03,견과 믹스,FOOD,15000,3,,Store B,KakaoPay,verified
SALE000122,B0043,2026/08/02,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store C,Bank Transfer,verified
SALE000123,B0018,2026/08/03,US04,마스킹 테이프,STATIONERY,6000,3,0.05,Store A,Other,verified
SALE000124,B0110,2026/08/06,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store C,KakaoPay,verified
SALE000125,B0118,2026/08/01,UT05,노이즈캔슬링 이어폰,tech,139000,1,0.0,Store B,Card,verified
SALE000126,B0107,2026/08/10,UT04,USB-C 허브,TECH,55000,1,0.0,Store A,Card,verified
SALE000127,B0139,2026/08/09,UL01,무드등,LIFESTYLE,39000,3,0.0,Store C,KakaoPay,verified
SALE000128,B0153,2026/08/02,UL02,보온 텀블러,LIFESTYLE,24000,1,0.0,Store A,Other,verified
SALE000129,B0017,2026/08/05,US05,파일 홀더,STATIONERY,9000,2,0.1,Store A,Other,verified
SALE000130,B0099,2026/08/02,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store C,Card,verified
SALE000131,B0065,2026/08/04,UF03,견과 믹스,FOOD,15000,1,0.0,Store C,KakaoPay,verified
SALE000132,B0079,2026/08/03,UF02,그래놀라 팩,Food,12000,1,0.0,Store A,Card,verified
SALE000133,B0170,2026/08/05,UL01,무드등,LIFESTYLE,39000,3,0.0,Store B,KakaoPay,verified
SALE000134,B0175,2026/08/07,UL02,보온 텀블러,LIFESTYLE,24000,4,,Store C,Card,verified
SALE000135,B0159,2026/08/10,UT02,버티컬 마우스,TECH,49000,1,0.0,Store A,Other,verified
SALE000136,B0127,2026/08/04,UT04,USB-C 허브,TECH,55000,1,0.0,Store A,Card,verified
SALE000137,B0073,2026/08/05,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store C,Other,verified
SALE000138,B0059,2026/08/08,UF01,드립백 커피,FOOD,18000,2,0.05,Store B,KakaoPay,verified
SALE000139,B0154,2026/08/09,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store C,Other,verified
SALE000140,B0022,2026/08/04,UA03,캔버스 에코백,FASHION,28000,1,0.05,Store C,KakaoPay,verified
SALE000141,B0129,2026/08/07,US04,마스킹 테이프,STATIONERY,6000,1,0.1,Store B,KakaoPay,verified
SALE000142,B0134,2026/08/02,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store B,Card,verified
SALE000143,B0035,2026/08/03,UF01,드립백 커피,FOOD,18000,3,0.1,Store B,KakaoPay,verified
SALE000144,B0135,2026/08/10,UL01,무드등,LIFESTYLE,39000,3,0.0,Store A,Card,verified
SALE000145,B0058,2026/08/03,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store C,KakaoPay,verified
SALE000146,B0105,2026/08/04,UF05,쿠키 박스,FOOD,22000,4,0.0,Store A,Bank Transfer,verified
SALE000147,B0031,2026/08/08,UF04,허브티 세트,FOOD,10000,1,0.0,Store B,Card,verified
SALE000148,B0048,2026/08/03,UF03,견과 믹스,FOOD,15000,1,0.1,Store A,KakaoPay,verified
SALE000149,B9002,2026/08/01,UA03,캔버스 에코백,FASHION,28000,1,0.05,Store A,Other,verified
SALE000150,B0010,2026/08/10,UL05,소파 쿠션,LIFESTYLE,35000,1,0.0,Store A,Card,verified
SALE000151,B0081,2026/08/09,UT04,USB-C 허브,TECH,55000,1,0.0,Store A,Card,verified
SALE000152,B0144,2026/08/04,UF05,쿠키 박스,FOOD,22000,2,0.05,Store B,KakaoPay,verified
SALE000153,B0122,2026/08/02,UF04,허브티 세트,FOOD,10000,1,0.0,Store B,Bank Transfer,verified
SALE000154,B0003,2026/08/10,UT05,노이즈캔슬링 이어폰,TECH,139000,1,0.0,Store B,KakaoPay,verified
SALE000155,B0045,2026/08/05,UF03,견과 믹스,FOOD,15000,1,0.05,Store A,KakaoPay,verified
SALE000156,B0130,2026/08/03,UL05,소파 쿠션,LIFESTYLE,35000,4,,Store A,Card,verified
SALE000157,B0132,2026/08/04,US03,위클리 플래너,STATIONERY,15000,1,0.0,Store A,KakaoPay,verified
SALE000158,B0010,2026/08/01,UL04,수납 바구니,Lifestyle,18000,2,0.0,Store A,Other,verified
SALE000159,B0116,2026/08/09,UL02,보온 텀블러,lifestyle,24000,1,0.0,Store C,Card,verified
SALE000160,B0045,2026/08/05,UF05,쿠키 박스,FOOD,22000,3,0.05,Store A,Bank Transfer,verified
SALE000161,B0098,2026/08/07,UF05,쿠키 박스,FOOD,22000,3,0.05,Store C,KakaoPay,verified
SALE000162,B0108,2026/08/03,UF05,쿠키 박스,FOOD,22000,2,0.05,Store A,Card,verified
SALE000163,B0020,2026/08/09,UL05,소파 쿠션,LIFESTYLE,35000,4,,Store A,Card,verified
SALE000164,B0019,2026/08/01,UT02,버티컬 마우스,TECH,49000,1,0.0,Store C,Card,verified
SALE000165,B0140,2026/08/01,UL01,무드등,LIFESTYLE,39000,3,0.0,Store C,Other,verified
SALE000166,B0015,2026/08/05,UF05,쿠키 박스,FOOD,22000,4,0.0,Store B,Card,verified
SALE000167,B0152,2026/08/07,UF05,쿠키 박스,FOOD,22000,2,0.05,Store A,Bank Transfer,verified
SALE000168,B0124,2026/08/05,UF05,쿠키 박스,FOOD,22000,3,0.05,Store C,Other,verified
SALE000169,B0029,2026/08/06,UT02,버티컬 마우스,TECH,49000,1,0.05,Store A,Card,verified
SALE000170,B0163,2026/08/03,US05,파일 홀더,STATIONERY,9000,1,0.05,Store B,Card,verified
SALE000171,B0043,2026/08/02,UA05,데일리 스니커즈,FASHION,119000,1,0.2,Store A,KakaoPay,verified
SALE000172,B0165,2026/08/01,UA01,코튼 티셔츠,FASHION,32000,1,0.15,Store A,KakaoPay,verified
SALE000173,B0122,2026/08/07,UF05,쿠키 박스,FOOD,22000,3,0.05,Store C,KakaoPay,verified
SALE000174,B0131,2026/08/08,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store C,Bank Transfer,verified
SALE000175,B0037,2026/08/05,UA03,캔버스 에코백,FASHION,28000,1,0.05,Store A,Card,verified
SALE000176,B9002,2026/08/01,UA01,코튼 티셔츠,FASHION,32000,2,0.15,Store B,Card,verified
SALE000177,B0064,2026/08/04,US03,위클리 플래너,STATIONERY,15000,4,0.0,Store A,Other,verified
SALE000178,B0116,2026/08/08,US05,파일 홀더,STATIONERY,9000,2,0.1,Store A,Card,verified
SALE000179,B0111,2026/08/04,UT02,버티컬 마우스,TECH,49000,1,0.0,Store C,Card,verified
SALE000180,B0056,2026/08/03,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store A,Card,verified
SALE000181,B0061,2026/08/02,UF01,드립백 커피,FOOD,18000,1,0.2,Store A,Card,verified
SALE000182,B0100,2026/08/09,UA02,후드 집업,FASHION,69000,1,0.15,Store A,Other,verified
SALE000183,B0161,2026/08/04,UA01,코튼 티셔츠,FASHION,32000,2,0.15,Store B,Other,verified
SALE000184,B0116,2026/08/06,UL03,우드 디퓨저,lifestyle,32000,1,0.0,Store C,KakaoPay,verified
SALE000185,B0104,2026/08/01,UF01,드립백 커피,FOOD,18000,3,0.1,Store C,KakaoPay,verified
SALE000186,B0001,2026/08/07,UF01,드립백 커피,FOOD,18000,1,0.05,Store B,Card,verified
SALE000187,B0049,2026/08/06,UL01,무드등,LIFESTYLE,39000,3,0.0,Store A,Card,verified
SALE000188,B0170,2026/08/01,UF02,그래놀라 팩,FOOD,12000,6,0.0,Store A,KakaoPay,verified
SALE000189,B0076,2026/08/09,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store C,Card,verified
SALE000190,B0103,2026/08/03,UF01,드립백 커피,FOOD,18000,3,0.1,Store A,Card,verified
SALE000191,B0094,2026/08/06,UL01,무드등,LIFESTYLE,39000,3,0.0,Store C,Bank Transfer,verified
SALE000192,B0142,2026/08/01,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store A,Other,verified
SALE000193,B0002,2026/08/08,UL02,보온 텀블러,LIFESTYLE,24000,1,0.1,Store C,Card,verified
SALE000194,B0069,2026/08/07,UF03,견과 믹스,FOOD,15000,3,0.1,Store C,Card,verified
SALE000195,B0009,2026/08/01,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store B,Card,verified
SALE000196,B0020,2026/08/09,UL01,무드등,LIFESTYLE,39000,3,0.0,Store A,KakaoPay,verified
SALE000197,B0005,2026/08/03,UL05,소파 쿠션,LIFESTYLE,35000,2,0.0,Store C,Other,verified
SALE000198,B0014,2026/08/06,UL05,소파 쿠션,LIFESTYLE,35000,2,0.0,Store C,Card,verified
SALE000199,B0041,2026/08/10,UF05,쿠키 박스,FOOD,22000,2,0.05,Store A,KakaoPay,verified
SALE000200,B0164,2026/08/04,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store B,Bank Transfer,verified
SALE000201,B0032,2026/08/07,US03,위클리 플래너,STATIONERY,15000,1,0.05,Store C,Card,verified
SALE000202,B0091,2026/08/02,UL02,보온 텀블러,LIFESTYLE,24000,4,,Store A,Bank Transfer,verified
SALE000203,B0040,2026/08/06,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store A,Bank Transfer,verified
SALE000204,B0070,2026/08/05,UT04,USB-C 허브,TECH,55000,1,0.1,Store B,Other,verified
SALE000205,B0021,2026/08/01,US05,파일 홀더,STATIONERY,9000,2,0.1,Store C,Card,verified
SALE000206,B9001,2026/08/09,UT03,FHD 웹캠,TECH,89000,6,0.1,Store A,KakaoPay,verified
SALE000207,B0171,2026/08/06,UL01,무드등,LIFESTYLE,39000,3,0.0,Store A,KakaoPay,verified
SALE000208,B0082,2026/08/01,UF04,허브티 세트,FOOD,10000,1,0.0,Store C,KakaoPay,verified
SALE000209,B0117,2026/08/07,UT05,노이즈캔슬링 이어폰,TECH,139000,1,0.0,Store C,Card,verified
SALE000210,B0044,2026/08/02,UT05,노이즈캔슬링 이어폰,Tech,139000,1,0.0,Store B,KakaoPay,verified
SALE000211,B0092,2026/08/08,UF05,쿠키 박스,FOOD,22000,2,0.05,Store C,KakaoPay,verified
SALE000212,B0176,2026/08/05,UL01,무드등,LIFESTYLE,39000,3,0.0,Store B,Other,verified
SALE000213,B0136,2026/08/10,UF04,허브티 세트,FOOD,10000,5,0.0,Store C,Other,verified
SALE000214,B0074,2026/08/07,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store C,Other,verified
SALE000215,B9001,2026/08/06,UA03,캔버스 에코백,Fashion,28000,1,0.05,Store A,KakaoPay,verified
SALE000216,B0177,2026/08/09,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store C,Card,verified
SALE000217,B0071,2026/08/08,US03,위클리 플래너,STATIONERY,15000,1,0.0,Store A,Card,verified
SALE000218,B0167,2026/08/07,UL05,소파 쿠션,LIFESTYLE,35000,2,0.0,Store C,Card,verified
SALE000219,B0061,2026/08/08,UA01,코튼 티셔츠,FASHION,32000,1,0.15,Store A,Card,verified
SALE000220,B0100,2026/08/02,UA04,볼캡,FASHION,26000,2,0.1,Store B,Card,verified
SALE000221,B0072,2026/08/10,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store B,KakaoPay,verified
SALE000222,B0097,2026/08/08,UF01,드립백 커피,FOOD,18000,1,0.05,Store A,Other,verified
SALE000223,B0143,2026/08/08,UL05,소파 쿠션,LIFESTYLE,35000,2,0.0,Store B,Card,verified
SALE000224,B0068,2026/08/10,UL02,보온 텀블러,LIFESTYLE,24000,1,0.0,Store B,Bank Transfer,verified
SALE000225,B0101,2026/08/05,UL02,보온 텀블러,LIFESTYLE,24000,1,0.0,Store A,Card,verified
SALE000226,B0169,2026/08/09,US04,마스킹 테이프,STATIONERY,6000,1,0.1,Store B,Bank Transfer,verified
SALE000227,B0034,2026/08/05,UF01,드립백 커피,FOOD,18000,2,0.05,Store A,Card,verified
SALE000228,B0137,2026/08/06,UF01,드립백 커피,FOOD,18000,1,0.2,Store B,Card,verified
SALE000229,B0067,2026/08/01,UA04,볼캡,FASHION,26000,2,0.1,Store B,Bank Transfer,verified
SALE000230,B0132,2026/08/09,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store B,Card,verified
SALE000231,B0125,2026/08/09,US03,위클리 플래너,STATIONERY,15000,1,0.0,Store A,KakaoPay,verified
SALE000232,B0039,2026/08/01,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store A,KakaoPay,verified
SALE000233,B0031,2026/08/05,UL01,무드등,LIFESTYLE,39000,3,0.0,Store C,Card,verified
SALE000234,B0046,2026/08/04,UL02,보온 텀블러,LIFESTYLE,24000,1,0.0,Store C,Card,verified
SALE000235,B0029,2026/08/02,UF03,견과 믹스,FOOD,15000,1,0.1,Store A,Bank Transfer,verified
SALE000236,B0121,2026/08/10,UT03,FHD 웹캠,TECH,89000,6,0.1,Store B,Card,verified
SALE000237,B0035,2026/08/03,UF03,견과 믹스,FOOD,15000,1,0.1,Store A,KakaoPay,verified
SALE000238,B0015,2026/08/03,UF03,견과 믹스,FOOD,15000,1,0.0,Store A,Card,verified
SALE000239,B0026,2026/08/05,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store A,Bank Transfer,verified
SALE000240,B0145,2026/08/07,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store B,Card,verified
SALE000241,B0162,2026/08/09,UL02,보온 텀블러,LIFESTYLE,24000,1,0.0,Store C,KakaoPay,verified
SALE000242,B0095,2026/08/09,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store A,Bank Transfer,verified
SALE000243,B0027,2026/08/05,UF01,드립백 커피,FOOD,18000,1,0.2,Store A,Card,verified
SALE000244,B0117,2026/08/05,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store C,Other,verified
SALE000245,B0110,2026/08/09,UF05,쿠키 박스,FOOD,22000,3,0.05,Store C,Card,verified
SALE000246,B0139,2026/08/09,US05,파일 홀더,STATIONERY,9000,5,0.1,Store A,Card,verified
SALE000247,B0076,2026/08/10,UF01,드립백 커피,FOOD,18000,2,0.05,Store B,Card,verified
SALE000248,B0159,2026/08/04,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store B,Card,verified
SALE000249,B0115,2026/08/06,UF03,견과 믹스,FOOD,15000,2,0.05,Store B,Card,verified
SALE000250,B0141,2026/08/10,UF05,쿠키 박스,FOOD,22000,4,0.0,Store B,Bank Transfer,verified
